Account,n_trades,total_pnl,avg_pnl,win_rate
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,836080.553077,20.806304824731235,0.428230141349791
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,940163.80622,44.364090516232544,0.46758210645526616
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,106302.875256,6.81210350887536,0.3457866068567767
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,43917.008976,2.928191023869849,0.26196826243499133
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,2143382.597689,145.48174829898866,0.3371343243059798
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,0.43858462925400044
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,0.40119320039228507
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,379095.406711,38.3195599627009,0.8108763772364298
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,0.35344524005164923
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,0.3603639240506329
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,6.5776539167582415,0.4427197802197802
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22488.500821,4.648305254443986,0.4386109962794543
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,-167621.124781,-36.43145507085416,0.38274288198217776
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,155.58931373806246,0.48622589531680444
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,0.3596123624934521
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,-18.49204287687057,0.3019165135206091
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4.0281190682641395,0.32766787405962666
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,52.0710111126891,0.5199135535659154
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,126578.942134,41.47409637418087,0.2853866317169069
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,220519.061853,83.49831952025748,0.32752745172283226
